feature_avg_correlation,intrinsic_dimensionality_ratio,model_name,n_features,n_samples,out_hull_ratio,train_f1,val_f1,val_f1_in_hull,val_f1_out_hull
0.3113355193099989,0.18888888888888888,2,90,47,1.0,0.903147154309945,0.3333333333333333,,0.3333333333333333
0.4186874684575727,0.18888888888888888,1,90,47,1.0,1.0,0.52,,0.52
0.4147113442987237,0.17777777777777778,1,90,47,1.0,1.0,0.5333333333333333,,0.5333333333333333
0.41526713544112304,0.17777777777777778,1,90,47,1.0,1.0,0.72,,0.72
0.4120137280049661,0.18888888888888888,1,90,47,1.0,1.0,0.72,,0.72
0.3457019435215571,0.18888888888888888,1,90,47,1.0,1.0,0.8,,0.8
0.4127312676473913,0.18888888888888888,1,90,47,1.0,1.0,0.72,,0.72
0.44190204630740815,0.18888888888888888,1,90,47,1.0,1.0,0.32,,0.32
0.371645842217636,0.18888888888888888,1,90,47,1.0,1.0,0.65,,0.65
0.3935840749500921,0.2,1,90,47,1.0,1.0,0.4,,0.4
0.4056082845188863,0.18888888888888888,1,90,47,1.0,1.0,0.3333333333333333,,0.3333333333333333
0.4186874684575727,0.18888888888888888,0,90,47,1.0,1.0,0.4533333333333333,,0.4533333333333333
0.4147113442987237,0.17777777777777778,0,90,47,1.0,1.0,0.26666666666666666,,0.26666666666666666
0.41526713544112304,0.17777777777777778,0,90,47,1.0,1.0,0.4666666666666666,,0.4666666666666666
0.4120137280049661,0.18888888888888888,0,90,47,1.0,1.0,0.5333333333333333,,0.5333333333333333
0.3457019435215571,0.18888888888888888,0,90,47,1.0,1.0,0.72,,0.72
0.4127312676473913,0.18888888888888888,0,90,47,1.0,1.0,0.5333333333333333,,0.5333333333333333
0.44190204630740815,0.18888888888888888,0,90,47,1.0,1.0,0.2,,0.2
0.371645842217636,0.18888888888888888,0,90,47,1.0,1.0,0.65,,0.65
0.3935840749500921,0.2,0,90,47,1.0,1.0,0.65,,0.65
0.4056082845188863,0.18888888888888888,0,90,47,1.0,1.0,0.5,,0.5
0.4186874684575727,0.18888888888888888,2,90,47,1.0,0.8775646214670605,0.22857142857142854,,0.22857142857142854
0.4147113442987237,0.17777777777777778,2,90,47,1.0,0.8712561151585541,0.26666666666666666,,0.26666666666666666
0.41526713544112304,0.17777777777777778,2,90,47,1.0,0.8710156149180539,0.4666666666666666,,0.4666666666666666
0.4120137280049661,0.18888888888888888,2,90,47,1.0,0.824563623899172,0.22857142857142854,,0.22857142857142854
0.3457019435215571,0.18888888888888888,2,90,47,1.0,0.8526425954997384,0.4666666666666666,,0.4666666666666666
0.4127312676473913,0.18888888888888888,2,90,47,1.0,0.8486909915481342,0.26666666666666666,,0.26666666666666666
0.44190204630740815,0.18888888888888888,2,90,47,1.0,0.9001998001998,0.32,,0.32
0.371645842217636,0.18888888888888888,2,90,47,1.0,0.8545872731919243,0.75,,0.75
0.3935840749500921,0.2,2,90,47,1.0,0.928699207768975,0.4,,0.4
0.4056082845188863,0.18888888888888888,2,90,47,1.0,0.8805745839211523,0.3333333333333333,,0.3333333333333333
0.695984509865015,0.1774193548387097,1,62,71,1.0,1.0,0.8181818181818181,,0.8181818181818181
0.7623521166996968,0.16129032258064516,1,62,71,1.0,1.0,0.8095238095238094,,0.8095238095238094
0.7700910312323952,0.1774193548387097,1,62,71,1.0,1.0,0.4155844155844156,,0.4155844155844156
0.7422520402334707,0.16129032258064516,1,62,71,1.0,1.0,0.4155844155844156,,0.4155844155844156
0.7633420762087848,0.1774193548387097,1,62,71,1.0,1.0,0.3809523809523809,,0.3809523809523809
0.7904114531224846,0.16129032258064516,1,62,71,1.0,1.0,0.6,,0.6
0.7338847672727056,0.1774193548387097,1,62,71,1.0,1.0,0.6,,0.6
